record_id,node_id,node_name,node_type,description,node_raw
R0025,Ruminobacter,Ruminobacter,rumen_bacteria,biomarker for seaweed supplementation,"{""id"": ""Ruminobacter"", ""node_type"": ""rumen_bacteria"", ""description"": ""biomarker for seaweed supplementation""}"
R0025,Anaerovibrio,Anaerovibrio,rumen_bacteria,positively correlated with CH4 production,"{""id"": ""Anaerovibrio"", ""node_type"": ""rumen_bacteria"", ""description"": ""positively correlated with CH4 production""}"
R0025,Family_XIII_AD3011,Family_XIII_AD3011,rumen_bacteria,biomarker for seaweed supplementation,"{""id"": ""Family_XIII_AD3011"", ""node_type"": ""rumen_bacteria"", ""description"": ""biomarker for seaweed supplementation""}"
R0025,Mogibacterium,Mogibacterium,rumen_bacteria,negatively correlated with CH4 production,"{""id"": ""Mogibacterium"", ""node_type"": ""rumen_bacteria"", ""description"": ""negatively correlated with CH4 production""}"
R0026,Ascophyllum nodosum,Ascophyllum nodosum,plant_species,brown macroalga,"{""id"": ""Ascophyllum nodosum"", ""node_type"": ""plant_species"", ""description"": ""brown macroalga""}"
R0026,methane yield,methane yield,outcome,g/kg DMI,"{""id"": ""methane yield"", ""node_type"": ""outcome"", ""description"": ""g/kg DMI""}"
R0026,methane intensity,methane intensity,outcome,g/kg ADG,"{""id"": ""methane intensity"", ""node_type"": ""outcome"", ""description"": ""g/kg ADG""}"
R0026,butyrate production,butyrate production,metabolic_process,volatile fatty acid,"{""id"": ""butyrate production"", ""node_type"": ""metabolic_process"", ""description"": ""volatile fatty acid""}"
R0026,ammonia-nitrogen,ammonia-nitrogen,plant_metabolite,NH3-N,"{""id"": ""ammonia-nitrogen"", ""node_type"": ""plant_metabolite"", ""description"": ""NH3-N""}"
R0027,Kappaphycus alvarezii,Kappaphycus alvarezii,plant_species,"red seaweed, contains tannins and saponins","{""id"": ""Kappaphycus alvarezii"", ""node_type"": ""plant_species"", ""description"": ""red seaweed, contains tannins and saponins""}"
R0027,Sargassum wightii,Sargassum wightii,plant_species,"brown seaweed, contains tannins and saponins","{""id"": ""Sargassum wightii"", ""node_type"": ""plant_species"", ""description"": ""brown seaweed, contains tannins and saponins""}"
R0027,Acanthophora specifera,Acanthophora specifera,plant_species,red seaweed,"{""id"": ""Acanthophora specifera"", ""node_type"": ""plant_species"", ""description"": ""red seaweed""}"
R0027,Padina gymnospora,Padina gymnospora,plant_species,brown seaweed,"{""id"": ""Padina gymnospora"", ""node_type"": ""plant_species"", ""description"": ""brown seaweed""}"
R0027,Spyridia filamentosa,Spyridia filamentosa,plant_species,red seaweed,"{""id"": ""Spyridia filamentosa"", ""node_type"": ""plant_species"", ""description"": ""red seaweed""}"
R0027,condensed tannins,condensed tannins,plant_metabolite,"secondary metabolite, anti-methanogenic potential","{""id"": ""condensed tannins"", ""node_type"": ""plant_metabolite"", ""description"": ""secondary metabolite, anti-methanogenic potential""}"
R0027,saponins,saponins,plant_metabolite,"secondary metabolite, anti-methanogenic potential","{""id"": ""saponins"", ""node_type"": ""plant_metabolite"", ""description"": ""secondary metabolite, anti-methanogenic potential""}"
R0027,methane yield,methane yield,outcome,CH4 production in mL/g OM,"{""id"": ""methane yield"", ""node_type"": ""outcome"", ""description"": ""CH4 production in mL/g OM""}"
R0027,ciliate protozoa,ciliate protozoa,rumen_protozoa,ciliate protozoa in rumen,"{""id"": ""ciliate protozoa"", ""node_type"": ""rumen_protozoa"", ""description"": ""ciliate protozoa in rumen""}"
R0027,Entodinomorphs,Entodinomorphs,rumen_protozoa,subgroup of ciliate protozoa,"{""id"": ""Entodinomorphs"", ""node_type"": ""rumen_protozoa"", ""description"": ""subgroup of ciliate protozoa""}"
R0027,sulfate-reducing microbes,sulfate-reducing microbes,rumen_bacteria,bacteria that reduce sulfate,"{""id"": ""sulfate-reducing microbes"", ""node_type"": ""rumen_bacteria"", ""description"": ""bacteria that reduce sulfate""}"
R0027,Methanobrevibacter,Methanobrevibacter,rumen_archaea,dominant archaeal genus,"{""id"": ""Methanobrevibacter"", ""node_type"": ""rumen_archaea"", ""description"": ""dominant archaeal genus""}"
R0027,feed fermentation pattern,feed fermentation pattern,metabolic_process,VFA/NH3/H2 production,"{""id"": ""feed fermentation pattern"", ""node_type"": ""metabolic_process"", ""description"": ""VFA/NH3/H2 production""}"
R0028,Laurencia snackeyi,Laurencia snackeyi,plant_species,red macroalga,"{""id"": ""Laurencia snackeyi"", ""node_type"": ""plant_species"", ""description"": ""red macroalga""}"
R0028,methane yield,methane yield,outcome,CH4 g/kg DMI,"{""id"": ""methane yield"", ""node_type"": ""outcome"", ""description"": ""CH4 g/kg DMI""}"
R0028,methane intensity,methane intensity,outcome,CH4 g/kg ECM,"{""id"": ""methane intensity"", ""node_type"": ""outcome"", ""description"": ""CH4 g/kg ECM""}"
R0028,hydrogen emission,hydrogen emission,outcome,daily H2 emission,"{""id"": ""hydrogen emission"", ""node_type"": ""outcome"", ""description"": ""daily H2 emission""}"
R0029,Ecklonia cava,Ecklonia cava,plant_species,brown macroalga,"{""id"": ""Ecklonia cava"", ""node_type"": ""plant_species"", ""description"": ""brown macroalga""}"
R0029,Ecklonia stolonifera,Ecklonia stolonifera,plant_species,brown macroalga,"{""id"": ""Ecklonia stolonifera"", ""node_type"": ""plant_species"", ""description"": ""brown macroalga""}"
R0029,Ulva pertusa,Ulva pertusa,plant_species,green macroalga,"{""id"": ""Ulva pertusa"", ""node_type"": ""plant_species"", ""description"": ""green macroalga""}"
R0029,polyphenol,polyphenol,plant_metabolite,bioactive compound in macroalgae,"{""id"": ""polyphenol"", ""node_type"": ""plant_metabolite"", ""description"": ""bioactive compound in macroalgae""}"
R0029,phloroglucinol,phloroglucinol,plant_metabolite,bioactive compound in macroalgae,"{""id"": ""phloroglucinol"", ""node_type"": ""plant_metabolite"", ""description"": ""bioactive compound in macroalgae""}"
R0029,methane yield,methane yield,outcome,enteric methane production,"{""id"": ""methane yield"", ""node_type"": ""outcome"", ""description"": ""enteric methane production""}"
R0030,Asparagopsis taxiformis,Asparagopsis taxiformis,plant_species,red macroalga,"{""id"": ""Asparagopsis taxiformis"", ""node_type"": ""plant_species"", ""description"": ""red macroalga""}"
R0030,Methanobrevibacter,Methanobrevibacter,rumen_archaea,methanogen,"{""id"": ""Methanobrevibacter"", ""node_type"": ""rumen_archaea"", ""description"": ""methanogen""}"
R0030,Prevotella,Prevotella,rumen_bacteria,propionate-producing bacterium,"{""id"": ""Prevotella"", ""node_type"": ""rumen_bacteria"", ""description"": ""propionate-producing bacterium""}"
R0030,Ruminobacter,Ruminobacter,rumen_bacteria,propionate-producing bacterium,"{""id"": ""Ruminobacter"", ""node_type"": ""rumen_bacteria"", ""description"": ""propionate-producing bacterium""}"
R0030,Succinivibrio,Succinivibrio,rumen_bacteria,propionate-producing bacterium,"{""id"": ""Succinivibrio"", ""node_type"": ""rumen_bacteria"", ""description"": ""propionate-producing bacterium""}"
R0030,Ruminococcus,Ruminococcus,rumen_bacteria,acetate-producing bacterium,"{""id"": ""Ruminococcus"", ""node_type"": ""rumen_bacteria"", ""description"": ""acetate-producing bacterium""}"
R0030,K00399,K00399,metabolic_process,methyl-coenzyme M reductase alpha subunit,"{""id"": ""K00399"", ""node_type"": ""metabolic_process"", ""description"": ""methyl-coenzyme M reductase alpha subunit""}"
R0030,methane yield,methane yield,outcome,methane production,"{""id"": ""methane yield"", ""node_type"": ""outcome"", ""description"": ""methane production""}"
R0030,propionate production,propionate production,metabolic_process,volatile fatty acid,"{""id"": ""propionate production"", ""node_type"": ""metabolic_process"", ""description"": ""volatile fatty acid""}"
R0030,H2,H2,plant_metabolite,hydrogen,"{""id"": ""H2"", ""node_type"": ""plant_metabolite"", ""description"": ""hydrogen""}"
R0030,acetate,acetate,metabolic_process,volatile fatty acid,"{""id"": ""acetate"", ""node_type"": ""metabolic_process"", ""description"": ""volatile fatty acid""}"
R0031,Gracilaria lemaneiformis,Gracilaria lemaneiformis,plant_species,"red seaweed, potential anti-methanogenic feed additive","{""id"": ""Gracilaria lemaneiformis"", ""node_type"": ""plant_species"", ""description"": ""red seaweed, potential anti-methanogenic feed additive""}"
R0031,g_norank_f_Methanomethylophilaceae,g_norank_f_Methanomethylophilaceae,rumen_archaea,methanogen responsible for CH4 generation,"{""id"": ""g_norank_f_Methanomethylophilaceae"", ""node_type"": ""rumen_archaea"", ""description"": ""methanogen responsible for CH4 generation""}"
R0031,Kandleria,Kandleria,rumen_bacteria,bacteria that competes with methanogens for substrates,"{""id"": ""Kandleria"", ""node_type"": ""rumen_bacteria"", ""description"": ""bacteria that competes with methanogens for substrates""}"
R0031,Succinivibrio,Succinivibrio,rumen_bacteria,bacteria that competes with methanogens for substrates,"{""id"": ""Succinivibrio"", ""node_type"": ""rumen_bacteria"", ""description"": ""bacteria that competes with methanogens for substrates""}"
R0031,13(S)-HOTrE,13(S)-HOTrE,plant_metabolite,polyunsaturated fatty acid that inhibits methanogenic activity,"{""id"": ""13(S)-HOTrE"", ""node_type"": ""plant_metabolite"", ""description"": ""polyunsaturated fatty acid that inhibits methanogenic activity""}"
R0031,9(S)-HOTrE,9(S)-HOTrE,plant_metabolite,polyunsaturated fatty acid that inhibits methanogenic activity,"{""id"": ""9(S)-HOTrE"", ""node_type"": ""plant_metabolite"", ""description"": ""polyunsaturated fatty acid that inhibits methanogenic activity""}"
R0031,methane yield,methane yield,outcome,CH4 production,"{""id"": ""methane yield"", ""node_type"": ""outcome"", ""description"": ""CH4 production""}"
R0031,VFA concentration,VFA concentration,outcome,volatile fatty acid concentration,"{""id"": ""VFA concentration"", ""node_type"": ""outcome"", ""description"": ""volatile fatty acid concentration""}"
R0031,NH3-N,NH3-N,outcome,ammonia nitrogen concentration,"{""id"": ""NH3-N"", ""node_type"": ""outcome"", ""description"": ""ammonia nitrogen concentration""}"
R0032,Asparagopsis taxiformis variety Brominata,Asparagopsis taxiformis variety Brominata,plant_species,"red macroalga, bromoform source","{""id"": ""Asparagopsis taxiformis variety Brominata"", ""node_type"": ""plant_species"", ""description"": ""red macroalga, bromoform source""}"
R0032,bromoform,bromoform,plant_metabolite,"halogenated compound, methane inhibitor","{""id"": ""bromoform"", ""node_type"": ""plant_metabolite"", ""description"": ""halogenated compound, methane inhibitor""}"
R0032,methane yield,methane yield,outcome,CH4 per unit DMI,"{""id"": ""methane yield"", ""node_type"": ""outcome"", ""description"": ""CH4 per unit DMI""}"
R0033,Sargassum spp.,Sargassum spp.,plant_species,"brown macroalga, source of phlorotannins","{""id"": ""Sargassum spp."", ""node_type"": ""plant_species"", ""description"": ""brown macroalga, source of phlorotannins""}"
R0033,phlorotannins,phlorotannins,plant_metabolite,polyphenolic compounds from Sargassum,"{""id"": ""phlorotannins"", ""node_type"": ""plant_metabolite"", ""description"": ""polyphenolic compounds from Sargassum""}"
R0033,Prevotella,Prevotella,rumen_bacteria,decreased by PTs,"{""id"": ""Prevotella"", ""node_type"": ""rumen_bacteria"", ""description"": ""decreased by PTs""}"
R0033,Prevotellaceae_UCG-001,Prevotellaceae_UCG-001,rumen_bacteria,increased by PTs,"{""id"": ""Prevotellaceae_UCG-001"", ""node_type"": ""rumen_bacteria"", ""description"": ""increased by PTs""}"
R0033,Ruminococcus,Ruminococcus,rumen_bacteria,increased by PTs,"{""id"": ""Ruminococcus"", ""node_type"": ""rumen_bacteria"", ""description"": ""increased by PTs""}"
R0033,Selenomonas,Selenomonas,rumen_bacteria,increased by PTs,"{""id"": ""Selenomonas"", ""node_type"": ""rumen_bacteria"", ""description"": ""increased by PTs""}"
R0033,Ruminobacter,Ruminobacter,rumen_bacteria,increased by PTs,"{""id"": ""Ruminobacter"", ""node_type"": ""rumen_bacteria"", ""description"": ""increased by PTs""}"
R0033,Fibrobacter,Fibrobacter,rumen_bacteria,increased by PTs,"{""id"": ""Fibrobacter"", ""node_type"": ""rumen_bacteria"", ""description"": ""increased by PTs""}"
R0033,rumen fermentation,rumen fermentation,metabolic_process,"dry matter digestibility, gas production, ammonia-N, pH","{""id"": ""rumen fermentation"", ""node_type"": ""metabolic_process"", ""description"": ""dry matter digestibility, gas production, ammonia-N, pH""}"
R0033,biohydrogenation,biohydrogenation,metabolic_process,rumen BH inhibited by PTs,"{""id"": ""biohydrogenation"", ""node_type"": ""metabolic_process"", ""description"": ""rumen BH inhibited by PTs""}"
R0034,Asparagopsis taxiformis,Asparagopsis taxiformis,plant_species,"red macroalga, bromoform source","{""id"": ""Asparagopsis taxiformis"", ""node_type"": ""plant_species"", ""description"": ""red macroalga, bromoform source""}"
R0034,bromoform,bromoform,plant_metabolite,"halogenated compound, anti-methanogenic","{""id"": ""bromoform"", ""node_type"": ""plant_metabolite"", ""description"": ""halogenated compound, anti-methanogenic""}"
R0034,sunflower oil,sunflower oil,feed_additive,carrier oil for bromoform,"{""id"": ""sunflower oil"", ""node_type"": ""feed_additive"", ""description"": ""carrier oil for bromoform""}"
R0034,methane production per kg BW gain,methane production per kg BW gain,outcome,enteric methane emission metric,"{""id"": ""methane production per kg BW gain"", ""node_type"": ""outcome"", ""description"": ""enteric methane emission metric""}"
R0034,dry matter intake,dry matter intake,outcome,feed intake,"{""id"": ""dry matter intake"", ""node_type"": ""outcome"", ""description"": ""feed intake""}"
R0034,average daily gain,average daily gain,outcome,animal growth rate,"{""id"": ""average daily gain"", ""node_type"": ""outcome"", ""description"": ""animal growth rate""}"
R0034,carbon footprint,carbon footprint,outcome,greenhouse gas emissions per unit product,"{""id"": ""carbon footprint"", ""node_type"": ""outcome"", ""description"": ""greenhouse gas emissions per unit product""}"
R0035,Ecklonia cava,Ecklonia cava,plant_species,"brown seaweed, source of phlorotannins","{""id"": ""Ecklonia cava"", ""node_type"": ""plant_species"", ""description"": ""brown seaweed, source of phlorotannins""}"
R0035,phlorofucofuroeckol-A,phlorofucofuroeckol-A,plant_metabolite,phlorotannin derivative from Ecklonia cava,"{""id"": ""phlorofucofuroeckol-A"", ""node_type"": ""plant_metabolite"", ""description"": ""phlorotannin derivative from Ecklonia cava""}"
R0035,dieckol,dieckol,plant_metabolite,phlorotannin derivative from Ecklonia cava,"{""id"": ""dieckol"", ""node_type"": ""plant_metabolite"", ""description"": ""phlorotannin derivative from Ecklonia cava""}"
R0035,"8,8'-bieckol","8,8'-bieckol",plant_metabolite,phlorotannin derivative from Ecklonia cava,"{""id"": ""8,8'-bieckol"", ""node_type"": ""plant_metabolite"", ""description"": ""phlorotannin derivative from Ecklonia cava""}"
R0035,methane yield,methane yield,outcome,rumen methane production,"{""id"": ""methane yield"", ""node_type"": ""outcome"", ""description"": ""rumen methane production""}"
R0035,total gas production,total gas production,outcome,total gas production in vitro,"{""id"": ""total gas production"", ""node_type"": ""outcome"", ""description"": ""total gas production in vitro""}"
R0036,Asparagopsis,Asparagopsis,plant_species,"red macroalga, bromoform source","{""id"": ""Asparagopsis"", ""node_type"": ""plant_species"", ""description"": ""red macroalga, bromoform source""}"
R0036,bromoform,bromoform,plant_metabolite,"CHBr3, bioactive compound","{""id"": ""bromoform"", ""node_type"": ""plant_metabolite"", ""description"": ""CHBr3, bioactive compound""}"
R0036,CH4 production,CH4 production,outcome,methane production in g/d,"{""id"": ""CH4 production"", ""node_type"": ""outcome"", ""description"": ""methane production in g/d""}"
R0036,CH4 yield,CH4 yield,outcome,methane yield in g/kg DMI,"{""id"": ""CH4 yield"", ""node_type"": ""outcome"", ""description"": ""methane yield in g/kg DMI""}"
R0036,CH4 intensity,CH4 intensity,outcome,methane intensity in g/kg product,"{""id"": ""CH4 intensity"", ""node_type"": ""outcome"", ""description"": ""methane intensity in g/kg product""}"
R0036,DMI,DMI,outcome,dry matter intake,"{""id"": ""DMI"", ""node_type"": ""outcome"", ""description"": ""dry matter intake""}"
R0037,Asparagopsis taxiformis,Asparagopsis taxiformis,plant_species,"red macroalga, bromoform source","{""id"": ""Asparagopsis taxiformis"", ""node_type"": ""plant_species"", ""description"": ""red macroalga, bromoform source""}"
R0037,phloroglucinol,phloroglucinol,plant_metabolite,"phenolic compound, H2 acceptor","{""id"": ""phloroglucinol"", ""node_type"": ""plant_metabolite"", ""description"": ""phenolic compound, H2 acceptor""}"
R0037,methane yield,methane yield,outcome,enteric methane emissions,"{""id"": ""methane yield"", ""node_type"": ""outcome"", ""description"": ""enteric methane emissions""}"
R0037,hydrogen emissions,hydrogen emissions,outcome,dihydrogen emissions,"{""id"": ""hydrogen emissions"", ""node_type"": ""outcome"", ""description"": ""dihydrogen emissions""}"
R0037,acetate molar proportion,acetate molar proportion,outcome,rumen fermentation parameter,"{""id"": ""acetate molar proportion"", ""node_type"": ""outcome"", ""description"": ""rumen fermentation parameter""}"
R0038,Asparagopsis taxiformis,Asparagopsis taxiformis,plant_species,"red macroalga, bromoform source","{""id"": ""Asparagopsis taxiformis"", ""node_type"": ""plant_species"", ""description"": ""red macroalga, bromoform source""}"
R0038,bromoform,bromoform,plant_metabolite,"volatile bioactive compound, CHBr3","{""id"": ""bromoform"", ""node_type"": ""plant_metabolite"", ""description"": ""volatile bioactive compound, CHBr3""}"
R0038,canola oil,canola oil,feed_additive,carrier oil for Asparagopsis bioactive compounds,"{""id"": ""canola oil"", ""node_type"": ""feed_additive"", ""description"": ""carrier oil for Asparagopsis bioactive compounds""}"
R0038,methane yield,methane yield,outcome,g CH4/kg DMI,"{""id"": ""methane yield"", ""node_type"": ""outcome"", ""description"": ""g CH4/kg DMI""}"
R0038,dissolved hydrogen,dissolved hydrogen,outcome,rumen dissolved hydrogen concentration,"{""id"": ""dissolved hydrogen"", ""node_type"": ""outcome"", ""description"": ""rumen dissolved hydrogen concentration""}"
R0039,Asparagopsis armata,Asparagopsis armata,plant_species,"red macroalga, source of bromoform","{""id"": ""Asparagopsis armata"", ""node_type"": ""plant_species"", ""description"": ""red macroalga, source of bromoform""}"
R0039,bromoform,bromoform,plant_metabolite,antimethanogenic compound,"{""id"": ""bromoform"", ""node_type"": ""plant_metabolite"", ""description"": ""antimethanogenic compound""}"
R0039,methane yield,methane yield,outcome,g CH4/kg DMI,"{""id"": ""methane yield"", ""node_type"": ""outcome"", ""description"": ""g CH4/kg DMI""}"
R0040,Rumin8 IFA,Rumin8 IFA,feed_additive,investigational feed additive containing synthetic bromoform,"{""id"": ""Rumin8 IFA"", ""node_type"": ""feed_additive"", ""description"": ""investigational feed additive containing synthetic bromoform""}"
R0040,bromoform,bromoform,plant_metabolite,"bioactive compound, synthetic bromoform","{""id"": ""bromoform"", ""node_type"": ""plant_metabolite"", ""description"": ""bioactive compound, synthetic bromoform""}"
R0040,methane yield,methane yield,outcome,methane emissions per unit feed intake,"{""id"": ""methane yield"", ""node_type"": ""outcome"", ""description"": ""methane emissions per unit feed intake""}"
R0040,methane emissions,methane emissions,outcome,absolute methane production,"{""id"": ""methane emissions"", ""node_type"": ""outcome"", ""description"": ""absolute methane production""}"
R0041,Asparagopsis armata,Asparagopsis armata,plant_species,"red macroalga, bromoform source","{""id"": ""Asparagopsis armata"", ""node_type"": ""plant_species"", ""description"": ""red macroalga, bromoform source""}"
R0041,bromoform,bromoform,plant_metabolite,primary antimethanogenic compound,"{""id"": ""bromoform"", ""node_type"": ""plant_metabolite"", ""description"": ""primary antimethanogenic compound""}"
R0041,canola oil,canola oil,feed_additive,carrier oil for seaweed extract,"{""id"": ""canola oil"", ""node_type"": ""feed_additive"", ""description"": ""carrier oil for seaweed extract""}"
R0041,ASP-Oil 1,ASP-Oil 1,feed_additive,Asparagopsis armata steeped in canola oil with seaweed biomass removed,"{""id"": ""ASP-Oil 1"", ""node_type"": ""feed_additive"", ""description"": ""Asparagopsis armata steeped in canola oil with seaweed biomass removed""}"
R0041,ASP-Oil 2,ASP-Oil 2,feed_additive,Asparagopsis armata steeped in canola oil without seaweed biomass removed,"{""id"": ""ASP-Oil 2"", ""node_type"": ""feed_additive"", ""description"": ""Asparagopsis armata steeped in canola oil without seaweed biomass removed""}"
R0041,methane yield,methane yield,outcome,enteric methane emissions in g/d,"{""id"": ""methane yield"", ""node_type"": ""outcome"", ""description"": ""enteric methane emissions in g/d""}"
R0041,methane intensity,methane intensity,outcome,methane per kg ECM,"{""id"": ""methane intensity"", ""node_type"": ""outcome"", ""description"": ""methane per kg ECM""}"
R0041,dry matter intake,dry matter intake,outcome,DMI,"{""id"": ""dry matter intake"", ""node_type"": ""outcome"", ""description"": ""DMI""}"
R0041,milk yield,milk yield,outcome,milk production,"{""id"": ""milk yield"", ""node_type"": ""outcome"", ""description"": ""milk production""}"
R0041,energy corrected milk,energy corrected milk,outcome,ECM,"{""id"": ""energy corrected milk"", ""node_type"": ""outcome"", ""description"": ""ECM""}"
R0041,bromoform concentration in milk,bromoform concentration in milk,outcome,bromoform residues in milk,"{""id"": ""bromoform concentration in milk"", ""node_type"": ""outcome"", ""description"": ""bromoform residues in milk""}"
R0042,Asparagopsis taxiformis,Asparagopsis taxiformis,plant_species,"red macroalga, bromoform source","{""id"": ""Asparagopsis taxiformis"", ""node_type"": ""plant_species"", ""description"": ""red macroalga, bromoform source""}"
R0042,Methanosphaera,Methanosphaera,rumen_archaea,methanol-utilizing methanogen,"{""id"": ""Methanosphaera"", ""node_type"": ""rumen_archaea"", ""description"": ""methanol-utilizing methanogen""}"
R0042,Butyrivibrio,Butyrivibrio,rumen_bacteria,butyrate-producing bacterium,"{""id"": ""Butyrivibrio"", ""node_type"": ""rumen_bacteria"", ""description"": ""butyrate-producing bacterium""}"
R0042,Moryella,Moryella,rumen_bacteria,butyrate-producing bacterium,"{""id"": ""Moryella"", ""node_type"": ""rumen_bacteria"", ""description"": ""butyrate-producing bacterium""}"
R0042,Eubacterium,Eubacterium,rumen_bacteria,butyrate-producing bacterium,"{""id"": ""Eubacterium"", ""node_type"": ""rumen_bacteria"", ""description"": ""butyrate-producing bacterium""}"
R0042,methane yield,methane yield,outcome,enteric methane emission,"{""id"": ""methane yield"", ""node_type"": ""outcome"", ""description"": ""enteric methane emission""}"
R0042,butyrate synthesis,butyrate synthesis,metabolic_process,fermentation pathway,"{""id"": ""butyrate synthesis"", ""node_type"": ""metabolic_process"", ""description"": ""fermentation pathway""}"
R0043,bromoform,bromoform,plant_metabolite,synthetic bromoform infused into rumen,"{""id"": ""bromoform"", ""node_type"": ""plant_metabolite"", ""description"": ""synthetic bromoform infused into rumen""}"
R0043,methane yield,methane yield,outcome,enteric CH4 production and yield,"{""id"": ""methane yield"", ""node_type"": ""outcome"", ""description"": ""enteric CH4 production and yield""}"
R0043,hydrogen,hydrogen,outcome,H2 production and yield,"{""id"": ""hydrogen"", ""node_type"": ""outcome"", ""description"": ""H2 production and yield""}"
R0043,propionate production,propionate production,metabolic_process,molar proportion of propionate,"{""id"": ""propionate production"", ""node_type"": ""metabolic_process"", ""description"": ""molar proportion of propionate""}"
R0043,acetate,acetate,metabolic_process,molar proportion of acetate,"{""id"": ""acetate"", ""node_type"": ""metabolic_process"", ""description"": ""molar proportion of acetate""}"
R0044,seaweed,seaweed,plant_species,dietary seaweed supplementation in dairy cows,"{""id"": ""seaweed"", ""node_type"": ""plant_species"", ""description"": ""dietary seaweed supplementation in dairy cows""}"
R0044,methane yield,methane yield,outcome,enteric methane emissions,"{""id"": ""methane yield"", ""node_type"": ""outcome"", ""description"": ""enteric methane emissions""}"
R0044,milk yield,milk yield,outcome,milk production,"{""id"": ""milk yield"", ""node_type"": ""outcome"", ""description"": ""milk production""}"
R0044,milk composition,milk composition,outcome,"milk fat, protein, lactose, urea nitrogen, somatic cell count, iodine","{""id"": ""milk composition"", ""node_type"": ""outcome"", ""description"": ""milk fat, protein, lactose, urea nitrogen, somatic cell count, iodine""}"
R0044,nutrient digestibility,nutrient digestibility,outcome,nutrient digestibility,"{""id"": ""nutrient digestibility"", ""node_type"": ""outcome"", ""description"": ""nutrient digestibility""}"
R0044,rumen fermentation,rumen fermentation,metabolic_process,"ruminal pH, VFA, ammonia N","{""id"": ""rumen fermentation"", ""node_type"": ""metabolic_process"", ""description"": ""ruminal pH, VFA, ammonia N""}"
R0045,Asparagopsis taxiformis,Asparagopsis taxiformis,plant_species,"red macroalga, bromoform source","{""id"": ""Asparagopsis taxiformis"", ""node_type"": ""plant_species"", ""description"": ""red macroalga, bromoform source""}"
R0045,bromoform,bromoform,plant_metabolite,"halogenated methane analogue, main bioactive","{""id"": ""bromoform"", ""node_type"": ""plant_metabolite"", ""description"": ""halogenated methane analogue, main bioactive""}"
R0045,Methanobrevibacter smithii,Methanobrevibacter smithii,rumen_archaea,methanogen strain,"{""id"": ""Methanobrevibacter smithii"", ""node_type"": ""rumen_archaea"", ""description"": ""methanogen strain""}"
R0045,Methanobrevibacter ruminantium,Methanobrevibacter ruminantium,rumen_archaea,methanogen strain,"{""id"": ""Methanobrevibacter ruminantium"", ""node_type"": ""rumen_archaea"", ""description"": ""methanogen strain""}"
R0045,Methanosphaera stadtmanae,Methanosphaera stadtmanae,rumen_archaea,methanogen strain,"{""id"": ""Methanosphaera stadtmanae"", ""node_type"": ""rumen_archaea"", ""description"": ""methanogen strain""}"
R0045,Methanosarcina barkeri,Methanosarcina barkeri,rumen_archaea,methanogen strain,"{""id"": ""Methanosarcina barkeri"", ""node_type"": ""rumen_archaea"", ""description"": ""methanogen strain""}"
R0045,Methanobrevibacter millerae,Methanobrevibacter millerae,rumen_archaea,methanogen strain,"{""id"": ""Methanobrevibacter millerae"", ""node_type"": ""rumen_archaea"", ""description"": ""methanogen strain""}"
R0045,Methanothermobacter wolfei,Methanothermobacter wolfei,rumen_archaea,methanogen strain,"{""id"": ""Methanothermobacter wolfei"", ""node_type"": ""rumen_archaea"", ""description"": ""methanogen strain""}"
R0045,Methanobacterium mobile,Methanobacterium mobile,rumen_archaea,methanogen strain,"{""id"": ""Methanobacterium mobile"", ""node_type"": ""rumen_archaea"", ""description"": ""methanogen strain""}"
R0046,Ascophyllum nodosum,Ascophyllum nodosum,plant_species,"brown macroalga, source of liquid extract","{""id"": ""Ascophyllum nodosum"", ""node_type"": ""plant_species"", ""description"": ""brown macroalga, source of liquid extract""}"
R0046,methane yield,methane yield,outcome,CH4 production measured in RUSITEC,"{""id"": ""methane yield"", ""node_type"": ""outcome"", ""description"": ""CH4 production measured in RUSITEC""}"
R0046,total gas production,total gas production,outcome,total gas production measured in RUSITEC,"{""id"": ""total gas production"", ""node_type"": ""outcome"", ""description"": ""total gas production measured in RUSITEC""}"
R0046,nutrient degradation,nutrient degradation,outcome,DM and OM degradation,"{""id"": ""nutrient degradation"", ""node_type"": ""outcome"", ""description"": ""DM and OM degradation""}"
R0046,volatile fatty acid production,volatile fatty acid production,outcome,total VFA production,"{""id"": ""volatile fatty acid production"", ""node_type"": ""outcome"", ""description"": ""total VFA production""}"
R0046,metabolic hydrogen recovery,metabolic hydrogen recovery,outcome,H2 recovery,"{""id"": ""metabolic hydrogen recovery"", ""node_type"": ""outcome"", ""description"": ""H2 recovery""}"
R0047,Asparagopsis taxiformis,Asparagopsis taxiformis,plant_species,"red macroalga, bromoform source","{""id"": ""Asparagopsis taxiformis"", ""node_type"": ""plant_species"", ""description"": ""red macroalga, bromoform source""}"
R0047,bromoform,bromoform,plant_metabolite,antimethanogenic compound,"{""id"": ""bromoform"", ""node_type"": ""plant_metabolite"", ""description"": ""antimethanogenic compound""}"
R0047,methane yield,methane yield,outcome,CH4 volume and yield per g OM degraded,"{""id"": ""methane yield"", ""node_type"": ""outcome"", ""description"": ""CH4 volume and yield per g OM degraded""}"
R0047,dry matter intake,dry matter intake,outcome,DM intake decreased by up to 28%,"{""id"": ""dry matter intake"", ""node_type"": ""outcome"", ""description"": ""DM intake decreased by up to 28%""}"
R0047,average daily gain,average daily gain,outcome,ADG reduced up to 40%,"{""id"": ""average daily gain"", ""node_type"": ""outcome"", ""description"": ""ADG reduced up to 40%""}"
